"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"29/03","174","77","31","12","33","4","0","6"
"30/03","127","52","33","6","44","3","0","1"
"31/03","114","90","55","32","9","0","4","2"
"01/04","150","59","40","30","28","2","0","5"
"02/04","116","64","57","18","8","3","3","4"
"03/04","91","61","39","11","22","6","4","4"
"04/04","104","21","27","11","14","2","0","2"
"05/04","87","26","9","2","17","4","1","3"
"06/04","57","25","14","2","7","3","1","0"
"07/04","49","32","13","4","10","9","0","1"
"08/04","48","24","9","5","11","9","0","2"
"09/04","39","14","10","1","14","4","0","1"
"10/04","49","11","13","7","11","11","0","3"
"11/04","44","23","9","1","8","11","0","0"
"12/04","7","6","12","0","3","11","0","0"
"13/04","9","8","7","2","6","6","0","1"
"14/04","7","9","11","2","4","15","0","0"
"15/04","16","4","5","0","5","4","0","0"
"16/04","11","5","5","1","3","11","0","0"
"17/04","29","7","6","1","6","4","0","0"
"18/04","10","14","9","0","3","4","0","0"
"19/04","21","14","5","0","1","9","0","0"
"20/04","6","1","0","0","0","3","0","1"
"21/04","6","5","6","2","1","1","0","0"
"22/04","5","1","0","1","0","4","0","0"
"23/04","5","1","2","0","0","0","0","0"
"24/04","7","5","2","0","2","2","0","1"
"25/04","12","3","2","0","1","1","0","1"
"26/04","8","3","3","0","0","4","0","0"
"27/04","2","1","3","0","0","2","0","0"
"28/04","5","3","0","0","1","4","0","0"
"29/04","11","3","1","0","1","1","0","0"
"30/04","2","7","0","0","0","2","0","0"
"01/05","9","5","0","0","0","0","0","0"
"02/05","5","10","1","0","0","0","2","0"
"03/05","4","11","1","0","0","0","0","0"
"04/05","1","21","3","0","0","0","0","1"
"05/05","3","14","5","0","0","2","0","0"
"06/05","9","16","0","0","0","0","0","0"
"07/05","3","15","2","1","0","2","0","0"
"08/05","4","13","0","0","1","0","0","0"
"09/05","5","13","0","0","0","0","0","0"
"10/05","2","8","2","0","0","0","0","0"
"11/05","1","5","0","0","0","0","0","0"
"12/05","0","16","0","0","1","0","0","0"
"13/05","6","7","0","0","0","0","0","0"
"14/05","4","9","0","0","1","0","0","0"
"15/05","8","19","1","0","0","1","0","0"
"16/05","3","13","1","0","2","0","0","0"
"17/05","1","5","0","0","0","0","0","0"
"18/05","1","6","2","0","0","0","0","0"
"19/05","2","6","0","0","0","0","0","0"
"20/05","4","5","1","0","0","0","0","0"
"21/05","2","5","0","0","0","0","0","0"
"22/05","3","10","0","0","0","0","0","0"
"23/05","3","9","1","0","0","0","0","0"
"24/05","1","2","1","0","0","0","0","0"
"25/05","3","2","0","0","4","0","0","0"
"26/05","2","5","1","1","6","0","0","0"
"27/05","2","7","1","0","0","0","0","0"
"28/05","1","10","0","0","7","0","0","0"
"29/05","2","6","0","0","8","0","0","0"
"30/05","0","8","0","0","0","0","0","0"
"31/05","3","8","0","0","3","0","0","0"
"01/06","3","4","0","0","1","0","0","0"
"02/06","6","9","1","0","0","0","0","0"
"03/06","0","7","0","0","1","0","0","0"
"04/06","2","8","0","0","0","0","0","0"
"05/06","4","3","0","0","4","0","0","0"
"06/06","0","1","1","0","1","0","0","0"
"07/06","0","4","0","0","0","0","0","1"
"08/06","3","2","0","0","0","0","0","0"
"09/06","2","0","0","0","0","0","0","0"
"10/06","3","4","0","0","0","0","0","0"
"11/06","0","7","1","0","0","0","0","0"
"12/06","3","5","1","0","1","0","0","0"
"13/06","4","8","1","0","0","0","0","0"
"14/06","9","10","0","0","0","0","0","0"
"15/06","3","12","0","0","0","0","0","0"
"16/06","3","11","0","0","0","0","0","0"
"17/06","1","20","1","0","0","0","0","0"
"18/06","2","18","0","0","1","0","0","0"
"19/06","7","13","0","0","0","0","0","0"
"20/06","1","25","0","0","0","0","0","0"
"21/06","5","17","0","0","1","0","0","0"
"22/06","2","13","0","0","0","0","0","0"
"23/06","1","18","0","0","2","0","0","0"
"24/06","10","18","0","0","0","0","0","0"
"25/06","4","33","0","0","0","0","0","0"
"26/06","6","28","1","0","0","0","0","0"
"27/06","6","41","0","0","0","0","0","0"
"28/06","3","47","0","0","1","0","0","0"
"29/06","7","68","0","3","0","0","0","0"
"30/06","5","61","0","0","2","0","0","0"
"01/07","14","76","0","0","0","0","0","0"
"02/07","8","73","0","0","0","0","1","0"
"03/07","0","62","0","0","0","0","0","0"
"04/07","6","99","0","0","0","0","0","0"
"05/07","14","68","0","0","6","0","0","0"
"06/07","10","98","0","0","3","0","0","0"
"07/07","7","168","1","0","0","0","0","0"
"08/07","8","122","0","0","2","0","0","3"
"09/07","13","149","0","0","3","0","0","1"
"10/07","14","143","0","0","3","0","1","1"
"11/07","7","289","2","0","2","0","0","0"
"12/07","5","256","0","0","1","0","0","0"
"13/07","14","168","1","0","0","0","0","0"
"14/07","13","248","0","0","1","0","0","0"
"15/07","13","221","0","0","8","0","0","0"
"16/07","10","295","0","1","2","0","0","0"
"17/07","8","380","0","0","2","0","0","0"
"18/07","15","211","0","0","1","0","0","0"
"19/07","18","338","0","0","0","0","0","0"
"20/07","20","264","1","0","0","1","0","0"
"21/07","13","327","0","0","0","0","0","0"
"22/07","16","438","1","2","0","0","0","0"
"23/07","19","378","0","1","0","0","0","0"
"24/07","7","289","2","0","0","0","0","0"
"25/07","15","336","0","0","0","0","0","0"
"26/07","14","411","0","0","2","0","0","0"
"27/07","17","497","0","0","0","0","0","0"
"28/07","14","360","0","1","1","0","0","0"
"29/07","19","274","3","0","2","0","0","0"
"30/07","18","630","3","1","1","0","0","0"
"31/07","21","557","1","1","1","0","1","0"
"01/08","17","369","1","1","0","0","1","0"
"02/08","12","604","1","2","1","0","0","0"
"03/08","13","355","0","2","0","0","0","0"
"04/08","12","407","0","2","0","0","0","0"
"05/08","12","693","1","0","1","0","0","0"
"06/08","12","445","0","1","0","0","0","0"
"07/08","11","422","0","2","0","0","0","0"
"08/08","9","454","0","0","0","0","0","0"
"09/08","10","373","0","0","0","0","0","0"
"10/08","14","311","1","0","0","0","0","0"
"11/08","22","321","0","0","0","1","0","0"
"12/08","18","400","0","0","0","0","0","0"
"13/08","12","258","0","0","2","0","0","0"
"14/08","9","360","3","1","1","0","0","0"
"15/08","9","301","0","0","1","0","0","0"
"16/08","5","266","0","1","0","0","0","0"
"17/08","7","270","0","1","0","0","0","0"
"18/08","3","218","0","0","1","0","0","0"
"19/08","7","209","1","0","4","0","0","0"
"20/08","5","235","1","0","0","0","0","0"
"21/08","1","172","0","0","0","0","0","0"
"22/08","9","179","9","0","0","0","0","0"
"23/08","4","203","2","1","1","0","0","0"
"24/08","3","116","1","0","1","0","0","0"
"25/08","3","148","0","0","0","0","0","0"
"26/08","6","148","1","0","0","0","0","0"
"27/08","9","113","2","0","0","0","0","0"
"28/08","13","113","3","0","2","0","0","0"
"29/08","14","94","4","0","0","0","0","0"
"30/08","7","114","4","0","0","0","0","0"
"31/08","10","73","1","0","0","0","0","0"
"01/09","13","70","2","0","0","0","0","0"
"02/09","17","90","2","0","0","0","0","0"
"03/09","12","113","2","0","0","0","0","0"
"04/09","8","81","0","0","0","0","0","0"
"05/09","5","76","1","1","0","0","0","0"
"06/09","10","63","2","0","1","0","0","0"
"07/09","4","41","2","0","1","0","0","0"
"08/09","9","55","1","0","1","0","0","0"
"09/09","9","76","8","0","0","0","0","0"
"10/09","7","51","0","0","1","0","0","0"
"11/09","10","43","2","0","0","0","0","0"
"12/09","","","","","","","",""
